 Populating box and setting intial velocities
 Beginning Simulation:           50 steps, with           10 particles.
   4.81571674       1.95795143       5.84882736      -6.76692104    
   4.12518740       1.28302932      -6.81730604       5.79002094    
   4.54166269       2.77193975      -2.93581605       8.44872665    
  0.875810623       3.72014904      -3.26768756      -8.32599640    
 Step           46 complete
   3.78011136E-05   3.83690119      -4.10229158       7.94803143    
   2.47860575       4.96473217      -6.07194853       6.56745338    
  0.609001100       4.67346430      -4.64580107       7.64307117    
  0.364601642      0.172859654      -4.73778105      -7.58639812    
  0.486048698       3.60819769     -0.597853720       8.92426872    
   4.58373976      0.811735213      -8.32207584      -3.27766013    
   4.59940052       1.28125930      -5.84882736      -6.76692104    
   3.44345689       1.86203146      -6.81730604       5.79002094    
   4.24808121       3.61681247      -2.93581605       8.44872665    
  0.549041867       2.88754940      -3.26768756      -8.32599640    
 Step           47 complete
  0.410266966       4.63170433       4.10229158       7.94803143    
   1.87141085       4.37852240      -6.07194853      -6.56745338    
  0.144420981       4.56222868      -4.64580107      -7.64307117    
  0.838379741      0.931499481       4.73778105       7.58639812    
  0.426263332       4.50062466     -0.597853720       8.92426872    
   3.75153208      0.483969182      -8.32207584      -3.27766013    
   4.01451778      0.604567170      -5.84882736      -6.76692104    
   2.76172638       2.44103360      -6.81730604       5.79002094    
   3.95449948       4.46168518      -2.93581605       8.44872665    
  0.222273111       2.05494976      -3.26768756      -8.32599640    
 Step           48 complete
